Regions,One-family household (with or without other people),,  One-family household nfd,,  Couple only,,  Couple only and other person(s),,  Couple with child(ren),,  Couple with child(ren) and other person(s),,  One parent with child(ren),,  One parent with child(ren) and other person(s),,Two-family household (with or without other people),,  Two-family household nfd,,  Two 2-parent families,,  One 2-parent family and a 1-parent family,,  Two 1-parent families,,  Other 2-family household,,Three or more family household (with or without other people),,  Three or more family household (with or without other people),,Other multi-person household,,  Other multi-person household nfd,,  Household of related people,,  Household of related and unrelated people,,  Household of unrelated people,,One-person household,,  One-person household,
Total,,1090176,,0,,406119,,40950,,434472,,40677,,135987,,31971,,52524,,0,,4296,,7068,,5028,,36132,,3378,,3378,,81351,,0,,12762,,2925,,65661,,361377,,361377
  Northland Region,,40809,,0,,17694,,1221,,13560,,1239,,5553,,1542,,1863,,0,,117,,288,,252,,1206,,108,,108,,2355,,0,,564,,84,,1707,,15327,,15327
  Auckland Region,,334479,,0,,98697,,15282,,147183,,19758,,41994,,11559,,25830,,0,,2520,,3486,,2133,,17691,,2124,,2124,,26139,,0,,4131,,1137,,20874,,85533,,85533
  Waikato Region,,107940,,0,,41934,,3684,,41781,,3507,,13647,,3387,,4542,,0,,309,,666,,534,,3036,,234,,234,,7356,,0,,1374,,285,,5697,,36165,,36165
  Bay of Plenty Region,,72723,,0,,30027,,2322,,26118,,2391,,9366,,2502,,3249,,0,,246,,468,,387,,2151,,204,,204,,4362,,0,,873,,117,,3369,,24579,,24579
  Gisborne Region,,10362,,0,,3552,,294,,3678,,336,,1953,,549,,510,,0,,45,,99,,99,,270,,27,,27,,675,,0,,222,,15,,432,,3984,,3984
  Hawke's Bay Region,,39165,,0,,15882,,1101,,14055,,1038,,5754,,1338,,1575,,0,,114,,249,,231,,981,,75,,75,,2283,,0,,501,,78,,1698,,14742,,14742
  Taranaki Region,,29949,,0,,12318,,714,,11703,,606,,3882,,726,,711,,0,,39,,96,,87,,486,,30,,30,,1509,,0,,339,,57,,1116,,11670,,11670
  Manawatu-Wanganui Region,,57072,,0,,23574,,1698,,20520,,1449,,8151,,1680,,1740,,0,,123,,285,,207,,1125,,63,,63,,4101,,0,,717,,123,,3264,,24276,,24276
  Wellington Region,,121023,,0,,44463,,4884,,49980,,3732,,14865,,3099,,4854,,0,,378,,669,,498,,3306,,234,,234,,11034,,0,,1503,,363,,9168,,42681,,42681
  Tasman Region,,13698,,0,,6447,,390,,4956,,321,,1323,,267,,453,,0,,18,,48,,21,,366,,15,,15,,579,,0,,84,,12,,483,,4119,,4119
  Nelson Region,,12951,,0,,5529,,453,,4620,,339,,1689,,324,,345,,0,,24,,36,,30,,252,,15,,15,,873,,0,,126,,18,,729,,5064,,5064
  Marlborough Region,,12468,,0,,6306,,357,,4089,,267,,1209,,237,,327,,0,,15,,42,,33,,237,,12,,12,,666,,0,,102,,21,,543,,4524,,4524
  West Coast Region,,7881,,0,,3864,,180,,2634,,123,,951,,135,,126,,0,,3,,9,,18,,96,,3,,3,,510,,0,,96,,6,,408,,4191,,4191
  Canterbury Region,,149877,,0,,60627,,5607,,59496,,4062,,16875,,3210,,4614,,0,,273,,450,,345,,3543,,180,,180,,11694,,0,,1428,,420,,9849,,52458,,52458
  Otago Region,,54471,,0,,24243,,2157,,20217,,1125,,5814,,915,,1341,,0,,51,,114,,87,,1089,,36,,36,,5700,,0,,441,,147,,5112,,21423,,21423
  Southland Region,,25149,,0,,10905,,594,,9816,,384,,2940,,507,,444,,0,,18,,63,,57,,303,,9,,9,,1503,,0,,255,,36,,1212,,10569,,10569
  Total - Regional Council Areas,,1090014,,0,,406065,,40938,,434406,,40668,,135972,,31965,,52518,,0,,4296,,7068,,5028,,36129,,3378,,3378,,81339,,0,,12756,,2925,,65655,,361302,,361302
